doi,all_authors,title,genre,published_date,year,journal_name,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa_normalized,oa_status_normalized,oa_host_type_normalized,oa_host_domain
10.1371/journal.pone.0149941,Ottaviani A.,Tissue-Specific Suppression of Thyroid Hormone Signaling in Various Mouse Models of Aging,journal-article,2016-03-08,2016.0,PLOS ONE,1932-6203,True,True,Public Library of Science (PLoS),Accès ouvert,Gold,Editeur et archive ouverte,"journals.plos.org,doi.org,europepmc.org,repub.eur.nl,dspace.library.uu.nl,www.ncbi.nlm.nih.gov,pdfs.semanticscholar.org"
10.1016/j.chemosphere.2016.02.014,Hurel C.|Taneez M.|Marmier N.,"Use of neutralized industrial residue to stabilize trace elements (Cu, Cd, Zn, As, Mo, and Cr) in marine dredged sediment from South-East of France",journal-article,2016-05-01,2016.0,Chemosphere,0045-6535,False,False,Elsevier BV,Accès fermé,Closed,Accès fermé,
10.1103/PhysRevLett.123.231102,Métris G.,New Test of Lorentz Invariance Using the MICROSCOPE Space Mission,journal-article,2019-12-02,2019.0,Physical Review Letters,0031-9007,False,False,American Physical Society (APS),Accès ouvert,Green,Archive ouverte,arxiv.org
10.1016/j.clnu.2020.06.031,Baqué P.|Schneider S.,Nutrition education in medical schools (nems). An espen position paper,journal-article,2020-09-01,2020.0,Clinical Nutrition,0261-5614,False,False,Elsevier BV,Accès fermé,Closed,Accès fermé,
10.1016/j.enpol.2019.01.018,Vona F.,Energy market liberalization and renewable energy policies in OECD countries,journal-article,2019-05-01,2019.0,Energy Policy,0301-4215,False,False,Elsevier BV,Accès ouvert,Green,Archive ouverte,"diposit.ub.edu,ieb.ub.edu"
10.1029/2017TC004771,Galve A.|Charvis P.|Hello Y.|Font Y.|Nocquet J.|Segovia M.|Régnier M.,"Seismicity distribution near a subducting seamount in the Central Ecuadorian Subduction Zone, space-time relation to a slow-slip event",journal-article,2018-07-01,2018.0,Tectonics,0278-7407,False,False,American Geophysical Union (AGU),Accès fermé,Closed,Accès fermé,
10.1142/S0218001420400029,Martinet J.|Martinet J.,Ontology-based Image Classification and Annotation,journal-article,2020-03-16,2020.0,International Journal of Pattern Recognition and Artificial Intelligence,0218-0014,False,False,World Scientific Pub Co Pte Lt,Accès fermé,Closed,Accès fermé,
10.1016/j.tecto.2015.12.021,Delouis B.,The Beni-Ilmane (Algeria) seismic sequence of May 2010: Seismic sources and stress tensor calculations,journal-article,2016-02-01,2016.0,Tectonophysics,0040-1951,False,False,Elsevier BV,Accès fermé,Closed,Accès fermé,
10.1007/s00401-016-1652-z,Checler F.|Bauer C.,"Genome-wide, high-content siRNA screening identifies the Alzheimer’s genetic risk factor FERMT2 as a major modulator of APP metabolism",journal-article,2016-12-08,2016.0,Acta Neuropathologica,0001-6322,False,False,Springer Science and Business Media LLC,Accès ouvert,Hybrid,Editeur et archive ouverte,"link.springer.com,doi.org,discovery.ucl.ac.uk,www.ncbi.nlm.nih.gov,europepmc.org"
10.1093/MNRAS/STX1774,Hayden M.R.,The age–metallicity structure of the Milky Way disc using APOGEE,journal-article,2017-07-14,2017.0,Monthly Notices of the Royal Astronomical Society,0035-8711,False,False,Oxford University Press (OUP),Accès ouvert,Green,Archive ouverte,"arxiv.org,researchonline.ljmu.ac.uk,edit.elte.hu"
10.1007/s00125-016-4105-2,Dumortier O.,A beta cell ATGL-lipolysis/adipose tissue axis controls energy homeostasis and body weight via insulin secretion in mice,journal-article,2016-09-27,2016.0,Diabetologia,0012-186X,False,False,Springer Science and Business Media LLC,Accès ouvert,Hybrid,Editeur et archive ouverte,"link.springer.com,europepmc.org,www.ncbi.nlm.nih.gov"
10.1103/PhysRevLett.118.151105,Regimbau T.|Christensen N.,Digging Deeper: Observing Primordial Gravitational Waves below the Binary-Black-Hole-Produced Stochastic Background,journal-article,2017-04-14,2017.0,Physical Review Letters,0031-9007,False,False,American Physical Society (APS),Accès ouvert,Hybrid,Editeur et archive ouverte,"link.aps.org,dspace.mit.edu,orca.cf.ac.uk,arxiv.org"
10.3390/ijms21020406,Engler J.d.A.,Molecular Changes Concomitant with Vascular System Development in Mature Galls Induced by Root-Knot Nematodes in the Model Tree Host Populus tremula × P. alba,journal-article,2020-01-09,2020.0,International Journal of Molecular Sciences,1422-0067,True,True,MDPI AG,Accès ouvert,Gold,Editeur et archive ouverte,"www.mdpi.com,doi.org,europepmc.org,biblio.ugent.be,dipot.ulb.ac.be,hal.univ-lorraine.fr,biblio.ugent.be,hal.univ-lorraine.fr,www.ncbi.nlm.nih.gov"
10.1121/1.5066348,Roffino S.,Nonlinear ultrasound parameter to monitor cell death in cancer cell samples,journal-article,2018-11-01,2018.0,The Journal of the Acoustical Society of America,0001-4966,False,False,Acoustical Society of America (ASA),Accès ouvert,Bronze,Editeur et archive ouverte,"asa.scitation.org,hal.archives-ouvertes.fr,hal.archives-ouvertes.fr"
10.1103/PhysRevMaterials.3.023403,David T.|Gaillard P.|Ronda A.|Berbezier I.|Favre L.|Abbarchi M.,Self-organization of SiGe planar nanowires via anisotropic elastic field,journal-article,2019-02-12,2019.0,Physical Review Materials,2475-9953,False,False,American Physical Society (APS),Accès fermé,Closed,Accès fermé,
10.1051/0004-6361/201936802,Liu S.,A degree-100 lunar gravity model from the Chang'e 5T1 mission,journal-article,2020-04-01,2020.0,Astronomy & Astrophysics,0004-6361,False,False,EDP Sciences,Accès fermé,Closed,Accès fermé,
10.3847/1538-4357/ab253c,Hello Y.|Deschamps A.,ANTARES Neutrino Search for Time and Space Correlations with IceCube High-energy Neutrino Events,journal-article,2019-07-12,2019.0,The Astrophysical Journal,0004-637X,False,False,American Astronomical Society,Accès ouvert,Green,Archive ouverte,"www.vliz.be,riunet.upv.es,arxiv.org,arxiv.org,upcommons.upc.edu,openaccess.leidenuniv.nl,univoak.eu"
10.1016/j.epsl.2016.02.031,Morbidelli A.,"Origins of volatile elements (H, C, N, noble gases) on Earth and Mars in light of recent results from the ROSETTA cometary mission",journal-article,2016-05-01,2016.0,Earth and Planetary Science Letters,0012-821X,False,False,Elsevier BV,Accès ouvert,Bronze,Editeur et archive ouverte,"manuscript.elsevier.com,hal.archives-ouvertes.fr,hal.archives-ouvertes.fr"
10.1111/ipd.12494,Muller-Bolla M.,"Evaluation of intraosseous computerized injection system (QuickSleeper ™ ) versus conventional infiltration anaesthesia in paediatric oral healthcare: a multicenter, single‐blind, combined split‐mouth and parallel‐arm randomized controlled trial",journal-article,2019-04-08,2019.0,International Journal of Paediatric Dentistry,0960-7439,False,False,Wiley,Accès ouvert,Green,Archive ouverte,"hal-univ-rennes1.archives-ouvertes.fr,hal-univ-rennes1.archives-ouvertes.fr"
10.3897/neobiota.44.31650,Giakoumi S.,Consistency of impact assessment protocols for non-native species,journal-article,2019-04-01,2019.0,NeoBiota,1314-2488,True,True,Pensoft Publishers,Accès ouvert,Gold,Editeur et archive ouverte,"neobiota.pensoft.net,doi.org,dugi-doc.udg.edu,air.unimi.it,biblio.ugent.be,digital.csic.es,hal.inrae.fr,radar.ibiss.bg.ac.rs,refubium.fu-berlin.de,repositori.udl.cat,www.dora.lib4ri.ch,www.duo.uio.no,zenodo.org,biblio.ugent.be,hal.inrae.fr,nibio.brage.unit.no,nora.nerc.ac.uk"
10.1083/jcb.201606069,Mesmin B.,Mitochondrial lipid transport and biosynthesis: A complex balance,journal-article,2016-06-27,2016.0,Journal of Cell Biology,0021-9525,False,False,Rockefeller University Press,Accès ouvert,Green,Archive ouverte,"europepmc.org,www.ncbi.nlm.nih.gov,pdfs.semanticscholar.org"
10.1007/s10340-018-1018-5,Monticelli L.|Desneux N.,"Multiparasitism with Trichogramma dendrolimi on egg of Chinese oak silkworm, Antheraea pernyi, enhances emergence of Trichogramma ostriniae",journal-article,2018-07-25,2018.0,Journal of Pest Science,1612-4758,False,False,Springer Science and Business Media LLC,Accès fermé,Closed,Accès fermé,
10.1109/SP40000.2020.00076,Bielova N.|Matte C.,Do Cookie Banners Respect my Choice? : Measuring Legal Compliance of Banners from IAB Europe’s Transparency and Consent Framework,proceedings-article,2020-05-01,2020.0,2020 IEEE Symposium on Security and Privacy (SP),,False,False,IEEE,Accès ouvert,Green,Archive ouverte,arxiv.org
10.4000/cybergeo.27439,Oliveau S.|Doignon Y.,La diagonale se vide ? Analyse spatiale exploratoire des décroissances démographiques en France métropolitaine depuis 50 ans,journal-article,2016-01-20,2016.0,Cybergeo,1278-3366,True,True,OpenEdition,Accès ouvert,Gold,Editeur,doi.org
10.1017/S0025315417000819,Guidetti P.,"Seawater warming at the northern reach for southern species: Gulf of Genoa, NW Mediterranean",journal-article,2017-05-29,2017.0,Journal of the Marine Biological Association of the United Kingdom,0025-3154,False,False,Cambridge University Press (CUP),Accès fermé,Closed,Accès fermé,
10.1016/j.jcp.2016.04.038,Pasquetti R.,Comparison of some isoparametric mappings for curved triangular spectral elements,journal-article,2016-07-01,2016.0,Journal of Computational Physics,0021-9991,False,False,Elsevier BV,Accès ouvert,Green,Archive ouverte,"hal.univ-cotedazur.fr,hal.univ-cotedazur.fr"
10.1051/0004-6361/201832973,Lagadec E.,Astrometric and photometric accuracies in high contrast imaging: The SPHERE speckle calibration tool (SpeCal),journal-article,2018-07-01,2018.0,Astronomy & Astrophysics,0004-6361,False,False,EDP Sciences,Accès ouvert,Hybrid,Editeur et archive ouverte,"www.aanda.org,doi.org,arxiv.org,ui.adsabs.harvard.edu,hal.archives-ouvertes.fr,hal.archives-ouvertes.fr,orbi.uliege.be,www.aanda.org"
10.1016/j.cmi.2019.03.024,Lamy B.,Microbiological diagnostics of bloodstream infections in Europe – An ESGBIES survey,journal-article,2019-11-01,2019.0,Clinical Microbiology and Infection,1198-743X,False,False,Elsevier BV,Accès ouvert,Bronze,Editeur,"www.clinicalmicrobiologyandinfection.com,doi.org"
10.1016/j.cnsns.2017.07.011,Clamond D.,Non-dispersive conservative regularisation of nonlinear shallow water (and isentropic Euler equations),journal-article,2018-02-01,2018.0,Communications in Nonlinear Science and Numerical Simulation,1007-5704,False,False,Elsevier BV,Accès ouvert,Green,Archive ouverte,"arxiv.org,hal.archives-ouvertes.fr,hal.archives-ouvertes.fr,hal.archives-ouvertes.fr,hal.archives-ouvertes.fr"
10.1016/j.tecto.2020.228566,Sladen A.|Ragon T.,Impact of topography on earthquake static slip estimates,journal-article,2020-09-01,2020.0,Tectonophysics,0040-1951,False,False,Elsevier BV,Accès ouvert,Green,Archive ouverte,"authors.library.caltech.edu,hal.archives-ouvertes.fr,hal.archives-ouvertes.fr"
10.1122/1.4994081,Blanc F.,Imaging non-Brownian particle suspensions with X-ray tomography: Application to the microstructure of Newtonian and viscoplastic suspensions,journal-article,2018-03-01,2018.0,Journal of Rheology,0148-6055,False,False,Society of Rheology,Accès ouvert,Green,Archive ouverte,"hal-enpc.archives-ouvertes.fr,hal-enpc.archives-ouvertes.fr,pdfs.semanticscholar.org"
10.1002/cbdv.201500230,Thomas O.P.|Saint-Lary L.|Fernandez X.,Metabolomics for the Authentication of Natural Extracts Used in Flavors and Fragrances: the Case Study of Violet Leaf Absolutes fromViola odorata,journal-article,2016-06-01,2016.0,Chemistry & Biodiversity,1612-1872,False,False,Wiley,Accès fermé,Closed,Accès fermé,
10.1089/bio.2016.0053,Hofman P.,Quality Matters: 2016 Annual Conference of the National Infrastructures for Biobanking,journal-article,2017-06-01,2017.0,Biopreservation and Biobanking,1947-5543,False,False,Mary Ann Liebert Inc,Accès ouvert,Green,Archive ouverte,"europepmc.org,www.ncbi.nlm.nih.gov"
10.18632/oncotarget.15345,Butori C.|Lalvée S.|Ilie M.|Long-Mira E.|Hofman V.|Hofman P.,Expression of MET in circulating tumor cells correlates with expression in tumor tissue from advanced-stage lung cancer patients,journal-article,2017-02-15,2017.0,Oncotarget,1949-2553,True,False,"Impact Journals, LLC",Accès ouvert,Gold,Editeur et archive ouverte,"www.oncotarget.com,doi.org,europepmc.org,www.ncbi.nlm.nih.gov,pdfs.semanticscholar.org"
10.3934/dcds.2020287,Houamed H.,On the global well-posedness of the axisymmetric viscous Boussinesq system in critical Lebesgue spaces,journal-article,2020-01-01,2020.0,Discrete & Continuous Dynamical Systems - A,1078-0947,True,False,American Institute of Mathematical Sciences (AIMS),Accès ouvert,Gold,Editeur et archive ouverte,"www.aimsciences.org,doi.org,arxiv.org"
10.1002/ecy.1558,Viguier C.,Early warning of critical transitions in biodiversity from compositional disorder,journal-article,2016-11-01,2016.0,Ecology,0012-9658,False,False,Wiley,Accès ouvert,Hybrid,Editeur et archive ouverte,"doi.org,europepmc.org,pure.au.dk,www.ncbi.nlm.nih.gov,eprints.soton.ac.uk"
10.1109/ICASSP.2016.7472545,Ferrari A.|Nassif R.|Richard C.,Diffusion LMS over multitask networks with noisy links,proceedings-article,2016-03-01,2016.0,"2016 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,False,False,IEEE,Accès fermé,Closed,Accès fermé,
10.1051/0004-6361/201731152,Abe L.|Martinez P.|Lagadec E.|Janin-Potiron P.|Carbillet M.|Vakili F.,"Discovery of a warm, dusty giant planet around HIP 65426",journal-article,2017-09-01,2017.0,Astronomy & Astrophysics,0004-6361,False,False,EDP Sciences,Accès ouvert,Bronze,Editeur et archive ouverte,"www.aanda.org,boris.unibe.ch,elar.urfu.ru,arxiv.org,ui.adsabs.harvard.edu,hal.archives-ouvertes.fr,hal.archives-ouvertes.fr,www.aanda.org,orbi.uliege.be"
10.4000/rei.8957,Saglietto L.,L’acceptabilité sociale de la technologie d’analyse de vidéos anonymes (AVA) : étude de cas dans trois magasins de détail québécois,journal-article,2020-09-01,2020.0,Revue d'économie industrielle,0154-3229,False,False,OpenEdition,Accès fermé,Closed,Accès fermé,
10.1016/j.asr.2017.05.029,Michel P.|Maurel C.|Thuillet F.,Numerical simulations of the contact between the lander MASCOT and a regolith-covered surface,journal-article,2018-10-01,2018.0,Advances in Space Research,0273-1177,False,False,Elsevier BV,Accès fermé,Closed,Accès fermé,
10.1109/TNNLS.2015.2418224,Flamary R.,DC Proximal Newton for Nonconvex Optimization Problems,journal-article,2016-03-01,2016.0,IEEE Transactions on Neural Networks and Learning Systems,2162-237X,False,False,Institute of Electrical and Electronics Engineers (IEEE),Accès ouvert,Green,Archive ouverte,"arxiv.org,hal.archives-ouvertes.fr,hal.archives-ouvertes.fr,hal.archives-ouvertes.fr,hal.archives-ouvertes.fr"
10.1089/hum.2015.141,Vassaux G.,The Promise of Gene Therapy for Pancreatic Cancer,journal-article,2016-02-01,2016.0,Human Gene Therapy,1043-0342,False,False,Mary Ann Liebert Inc,Accès fermé,Closed,Accès fermé,
10.3390/nu8120755,Marquet L.|Brisswalter J.,Periodization of Carbohydrate Intake: Short-Term Effect on Performance,journal-article,2016-11-25,2016.0,Nutrients,2072-6643,True,True,MDPI AG,Accès ouvert,Gold,Editeur et archive ouverte,"www.mdpi.com,doi.org,europepmc.org,acuresearchbank.acu.edu.au,researchbank.acu.edu.au,www.ncbi.nlm.nih.gov,researchonline.ljmu.ac.uk,pdfs.semanticscholar.org"
10.1051/0004-6361/201628470,Crida A.,Highly inclined and eccentric massive planets,journal-article,2017-02-01,2017.0,Astronomy & Astrophysics,0004-6361,False,False,EDP Sciences,Accès ouvert,Bronze,Editeur et archive ouverte,"www.aanda.org,arxiv.org,www.aanda.org,www.aanda.org"
10.1109/CAMA.2017.8273441,Ferrero F.|Lizzi L.|Buey C.,Measurement set-up for the assessment of user impact on handheld terminal beyond 10 GHz,proceedings-article,2017-12-01,2017.0,2017 IEEE Conference on Antenna Measurements & Applications (CAMA),,False,False,IEEE,Accès fermé,Closed,Accès fermé,
10.1051/0004-6361/201833082,Chelli A.,Pseudo-photometric distances of 30 open clusters,journal-article,2018-11-01,2018.0,Astronomy & Astrophysics,0004-6361,False,False,EDP Sciences,Accès ouvert,Hybrid,Editeur et archive ouverte,"www.aanda.org,doi.org,hal.archives-ouvertes.fr,hal.archives-ouvertes.fr,pdfs.semanticscholar.org,www.aanda.org"
10.1016/j.jflm.2015.12.005,Crenesse D.|Quatrehomme G.|Alunni V.,Corrigendum to Fatal heat stroke in a child entrapped in a confined space [J Forens Legal Med 34 (August 2015) 139–144],journal-article,2016-02-01,2016.0,Journal of Forensic and Legal Medicine,1752-928X,False,False,Elsevier BV,Accès fermé,Closed,Accès fermé,
10.1186/s12885-018-4169-0,Pagès G.,AKT1 restricts the invasive capacity of head and neck carcinoma cells harboring a constitutively active PI3 kinase activity,journal-article,2018-03-05,2018.0,BMC Cancer,1471-2407,True,True,Springer Science and Business Media LLC,Accès ouvert,Gold,Editeur et archive ouverte,"bmccancer.biomedcentral.com,doi.org,europepmc.org,www.hal.inserm.fr,www.hal.inserm.fr,www.ncbi.nlm.nih.gov"
10.1007/s00384-020-03685-w,Piche T.|Anty R.,The severity of symptoms is insufficient to predict major alterations to quality of life of patients with fecal incontinence or chronic constipation,journal-article,2020-07-05,2020.0,International Journal of Colorectal Disease,0179-1958,False,False,Springer Science and Business Media LLC,Accès fermé,Closed,Accès fermé,
